Date,Type,Amount,Death Toll (Global)
1/5/20,Media posts,37,
1/5/20,Deaths,0,
1/6/20,Media posts,96,
1/6/20,Deaths,0,
1/7/20,Media posts,45,
1/8/20,Media posts,308,
1/9/20,Media posts,679,
1/10/20,Media posts,503,
1/11/20,Media posts,392,
1/12/20,Media posts,160,
1/13/20,Media posts,491,
1/14/20,Media posts,355,
1/15/20,Media posts,557,
1/16/20,Media posts,1116,
1/17/20,Media posts,1747,
1/18/20,Media posts,1159,
1/19/20,Media posts,1350,
1/20/20,Media posts,3885,
1/21/20,Media posts,10447,
1/22/20,Media posts,14158,17
1/22/20,Deaths,17,
1/23/20,Media posts,17253,18
1/23/20,Deaths,18,
1/24/20,Media posts,18422,26
1/24/20,Deaths,26,
1/25/20,Media posts,10381,42
1/25/20,Deaths,42,
1/26/20,Media posts,12598,56
1/26/20,Deaths,56,
1/27/20,Media posts,21762,82
1/27/20,Deaths,82,
1/28/20,Media posts,26582,131
1/28/20,Deaths,131,
1/29/20,Media posts,28748,133
1/29/20,Deaths,133,
1/30/20,Media posts,34210,171
1/30/20,Deaths,171,
1/31/20,Media posts,31925,213
1/31/20,Deaths,213,
2/1/20,Media posts,15833,259
2/1/20,Deaths,259,
2/2/20,Media posts,17267,362
2/2/20,Deaths,362,
2/3/20,Media posts,28135,426
2/3/20,Deaths,426,
2/4/20,Media posts,29730,492
2/4/20,Deaths,492,
2/5/20,Media posts,28534,564
2/5/20,Deaths,564,
2/6/20,Media posts,27908,634
2/6/20,Deaths,634,
2/7/20,Media posts,27002,719
2/7/20,Deaths,719,
2/8/20,Media posts,13600,806
2/8/20,Deaths,806,
2/9/20,Media posts,13653,906
2/9/20,Deaths,906,
2/10/20,Media posts,27251,1013
2/10/20,Deaths,1013,
2/11/20,Media posts,29072,1113
2/11/20,Deaths,1113,
2/12/20,Media posts,29059,1118
2/12/20,Deaths,1118,
2/13/20,Media posts,31899,1371
2/13/20,Deaths,1371,
2/14/20,Media posts,27034,1523
2/14/20,Deaths,1523,
2/15/20,Media posts,14241,1666
2/15/20,Deaths,1666,
2/16/20,Media posts,14699,1770
2/16/20,Deaths,1770,
2/17/20,Media posts,24688,1868
2/17/20,Deaths,1868,
2/18/20,Media posts,28893,2007
2/18/20,Deaths,2007,
2/19/20,Media posts,24879,2122
2/19/20,Deaths,2122,
2/20/20,Media posts,23508,2247
2/20/20,Deaths,2247,
2/21/20,Media posts,25549,2251
2/21/20,Deaths,2251,
2/22/20,Media posts,15196,2458
2/22/20,Deaths,2458,
2/23/20,Media posts,18472,2469
2/23/20,Deaths,2469,
2/24/20,Media posts,38643,2629
2/24/20,Deaths,2629,
2/25/20,Media posts,46046,2708
2/25/20,Deaths,2708,
2/26/20,Media posts,54784,2770
2/26/20,Deaths,2770,
2/27/20,Media posts,63088,2814
2/27/20,Deaths,2814,
2/28/20,Media posts,74155,2872
2/28/20,Deaths,2872,
2/29/20,Media posts,39370,2941
2/29/20,Deaths,2941,
3/1/20,Media posts,38857,2996
3/1/20,Deaths,2996,
3/2/20,Media posts,80241,3085
3/2/20,Deaths,3085,
3/3/20,Media posts,85294,3160
3/3/20,Deaths,3160,
