Date,Type,AmountFake,Death Toll (Global),Amount
1/5/20,Media posts,37,,37
1/5/20,Deaths,0,,0
1/6/20,Media posts,96,,133
1/6/20,Deaths,0,,0
1/7/20,Media posts,45,,141
1/8/20,Media posts,308,,449
1/9/20,Media posts,679,,1128
1/10/20,Media posts,503,,1631
1/11/20,Media posts,392,,2023
1/12/20,Media posts,160,,2183
1/13/20,Media posts,491,,2674
1/14/20,Media posts,355,,3029
1/15/20,Media posts,557,,3586
1/16/20,Media posts,1116,,4702
1/17/20,Media posts,1747,,6449
1/18/20,Media posts,1159,,7608
1/19/20,Media posts,1350,,8958
1/20/20,Media posts,3885,,12843
1/21/20,Media posts,10447,,23290
1/22/20,Media posts,14158,17,37448
1/22/20,Deaths,17,,17
1/23/20,Media posts,17253,18,54701
1/23/20,Deaths,18,,35
1/24/20,Media posts,18422,26,73123
1/24/20,Deaths,26,,61
1/25/20,Media posts,10381,42,83504
1/25/20,Deaths,42,,103
1/26/20,Media posts,12598,56,96102
1/26/20,Deaths,56,,159
1/27/20,Media posts,21762,82,117864
1/27/20,Deaths,82,,241
1/28/20,Media posts,26582,131,144446
1/28/20,Deaths,131,,372
1/29/20,Media posts,28748,133,173194
1/29/20,Deaths,133,,505
1/30/20,Media posts,34210,171,207404
1/30/20,Deaths,171,,676
1/31/20,Media posts,31925,213,239329
1/31/20,Deaths,213,,889
2/1/20,Media posts,15833,259,255162
2/1/20,Deaths,259,,1148
2/2/20,Media posts,17267,362,272429
2/2/20,Deaths,362,,1510
2/3/20,Media posts,28135,426,300564
2/3/20,Deaths,426,,1936
2/4/20,Media posts,29730,492,330294
2/4/20,Deaths,492,,2428
2/5/20,Media posts,28534,564,358828
2/5/20,Deaths,564,,2992
2/6/20,Media posts,27908,634,386736
2/6/20,Deaths,634,,3626
2/7/20,Media posts,27002,719,413738
2/7/20,Deaths,719,,4345
2/8/20,Media posts,13600,806,427338
2/8/20,Deaths,806,,5151
2/9/20,Media posts,13653,906,440991
2/9/20,Deaths,906,,6057
2/10/20,Media posts,27251,1013,468242
2/10/20,Deaths,1013,,7070
2/11/20,Media posts,29072,1113,497314
2/11/20,Deaths,1113,,8183
2/12/20,Media posts,29059,1118,526373
2/12/20,Deaths,1118,,9301
2/13/20,Media posts,31899,1371,558272
2/13/20,Deaths,1371,,10672
2/14/20,Media posts,27034,1523,585306
2/14/20,Deaths,1523,,12195
2/15/20,Media posts,14241,1666,599547
2/15/20,Deaths,1666,,13861
2/16/20,Media posts,14699,1770,614246
2/16/20,Deaths,1770,,15631
2/17/20,Media posts,24688,1868,638934
2/17/20,Deaths,1868,,17499
2/18/20,Media posts,28893,2007,667827
2/18/20,Deaths,2007,,19506
2/19/20,Media posts,24879,2122,692706
2/19/20,Deaths,2122,,21628
2/20/20,Media posts,23508,2247,716214
2/20/20,Deaths,2247,,23875
2/21/20,Media posts,25549,2251,741763
2/21/20,Deaths,2251,,26126
2/22/20,Media posts,15196,2458,756959
2/22/20,Deaths,2458,,28584
2/23/20,Media posts,18472,2469,775431
2/23/20,Deaths,2469,,31053
2/24/20,Media posts,38643,2629,814074
2/24/20,Deaths,2629,,33682
2/25/20,Media posts,46046,2708,860120
2/25/20,Deaths,2708,,36390
2/26/20,Media posts,54784,2770,914904
2/26/20,Deaths,2770,,39160
2/27/20,Media posts,63088,2814,977992
2/27/20,Deaths,2814,,41974
2/28/20,Media posts,74155,2872,1052147
2/28/20,Deaths,2872,,44846
2/29/20,Media posts,39370,2941,1091517
2/29/20,Deaths,2941,,47787
3/1/20,Media posts,38857,2996,1130374
3/1/20,Deaths,2996,,50783
3/2/20,Media posts,80241,3085,1210615
3/2/20,Deaths,3085,,53868
3/3/20,Media posts,85294,3160,1295909
3/3/20,Deaths,3160,,57028
